trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.1, 'e': 0.9916910320548965}",25,0,-121.33750216517393,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
130,False,"{'a': 0.1, 'e': 0.9915618937147881}",20,0,-49.75349913586989,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
131,False,"{'a': 0.1, 'e': 0.9914317638128685}",20,0,-124.38503467194128,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
132,False,"{'a': 0.1, 'e': 0.9913006424792677}",20,12,-7.5029093424246645,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.1, 'e': 0.9911685298451072}",25,0,-72.61116363987962,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
134,False,"{'a': 0.1, 'e': 0.9910354260424993}",25,14,-13.245394779167553,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.1, 'e': 0.9909013312045479}",20,0,-129.49141952753988,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
136,False,"{'a': 0.1, 'e': 0.990766245465348}",30,0,-83.87421869836231,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
137,False,"{'a': 0.1, 'e': 0.9906301689599851}",25,0,-72.1977055493942,"{0: 19, 1: 3, 2: 0, 3: 2, 4: 1}",0
138,False,"{'a': 0.1, 'e': 0.9904931018245359}",20,0,-133.42854058055906,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
139,False,"{'a': 0.1, 'e': 0.9903550441960673}",20,0,-30.61062941074856,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
140,False,"{'a': 0.1, 'e': 0.9902159962126371}",20,0,-125.37293463304465,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
141,False,"{'a': 0.1, 'e': 0.9900759580132933}",20,0,-42.789105665797926,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
142,False,"{'a': 0.1, 'e': 0.9899349297380738}",30,0,-92.88131437711588,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
143,False,"{'a': 0.1, 'e': 0.9897929115280072}",20,0,-99.62263332244247,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",1
144,False,"{'a': 0.1, 'e': 0.9896499035251115}",20,0,-141.25300372439125,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
145,False,"{'a': 0.1, 'e': 0.9895059058723947}",30,0,-126.7271676489965,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
146,False,"{'a': 0.1, 'e': 0.9893609187138546}",30,0,-148.26719543944938,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
147,False,"{'a': 0.1, 'e': 0.9892149421944781}",25,7,-109.21024250418039,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 1}",1
148,False,"{'a': 0.1, 'e': 0.989067976460242}",25,0,-218.70152271300736,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
149,False,"{'a': 0.1, 'e': 0.9889200216581118}",30,0,-166.91776774831712,"{0: 17, 1: 0, 2: 9, 3: 3, 4: 1}",1
150,False,"{'a': 0.1, 'e': 0.9887710779360422}",20,0,-69.23404766033543,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
151,False,"{'a': 0.1, 'e': 0.9886211454429773}",30,15,-18.909960512252468,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
152,False,"{'a': 0.1, 'e': 0.9884702243288492}",20,4,-69.50309672163777,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 1}",1
153,False,"{'a': 0.1, 'e': 0.9883183147445792}",25,18,8.467709065939232,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.1, 'e': 0.9881654168420767}",30,0,-218.82059711976706,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
155,False,"{'a': 0.1, 'e': 0.9880115307742399}",20,0,-138.9337024530881,"{0: 13, 1: 3, 2: 0, 3: 1, 4: 3}",0
156,False,"{'a': 0.1, 'e': 0.9878566566949545}",20,0,-60.398575406159786,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
157,False,"{'a': 0.1, 'e': 0.9877007947590948}",20,0,-114.2290410746013,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
158,False,"{'a': 0.1, 'e': 0.9875439451225226}",25,0,-199.49387029399423,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
159,False,"{'a': 0.1, 'e': 0.9873861079420876}",20,0,-83.30819587007235,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
160,False,"{'a': 0.1, 'e': 0.9872272833756269}",25,0,-178.44446018791305,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
161,False,"{'a': 0.1, 'e': 0.9870674715819652}",25,0,-176.74941745151932,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
162,False,"{'a': 0.1, 'e': 0.986906672720914}",25,0,-61.055241283846875,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
163,False,"{'a': 0.1, 'e': 0.9867448869532726}",20,0,-45.07757412601852,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
